danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,main_artist,playlist
0.822,0.85,4,-7.67,0,0.118,0.172,0.000884,0.22,0.882,101.961,audio_features,0OJ7Bkt4iIfN1hCpqJxA4i,spotify:track:0OJ7Bkt4iIfN1hCpqJxA4i,https://api.spotify.com/v1/tracks/0OJ7Bkt4iIfN1hCpqJxA4i,https://api.spotify.com/v1/audio-analysis/0OJ7Bkt4iIfN1hCpqJxA4i,223373,4,32,Adnan Sami,Hindi
0.652,0.516,6,-8.947,0,0.0633,0.516,7.55e-05,0.0582,0.724,150.053,audio_features,137luWZJ3YPlv5zVKkR68C,spotify:track:137luWZJ3YPlv5zVKkR68C,https://api.spotify.com/v1/tracks/137luWZJ3YPlv5zVKkR68C,https://api.spotify.com/v1/audio-analysis/137luWZJ3YPlv5zVKkR68C,246653,4,32,Kavita Krishnamurthy,Hindi
0.69,0.533,0,-9.741,1,0.0342,0.157,6.02e-05,0.121,0.399,119.924,audio_features,4CKi5CijlpT7ljOgLN7ReX,spotify:track:4CKi5CijlpT7ljOgLN7ReX,https://api.spotify.com/v1/tracks/4CKi5CijlpT7ljOgLN7ReX,https://api.spotify.com/v1/audio-analysis/4CKi5CijlpT7ljOgLN7ReX,319480,4,41,Rahat Fateh Ali Khan,Hindi
0.377,0.822,4,-8.46,0,0.199,0.0439,4.09e-06,0.205,0.648,135.949,audio_features,4Tkd3iSddzW3kjoLwwYoGQ,spotify:track:4Tkd3iSddzW3kjoLwwYoGQ,https://api.spotify.com/v1/tracks/4Tkd3iSddzW3kjoLwwYoGQ,https://api.spotify.com/v1/audio-analysis/4Tkd3iSddzW3kjoLwwYoGQ,226469,5,23,Negar Khan,Hindi
0.407,0.497,9,-8.292,1,0.0398,0.45,1.74e-05,0.129,0.764,102.649,audio_features,5T6yrJuKWnkCH2OlQsoO7z,spotify:track:5T6yrJuKWnkCH2OlQsoO7z,https://api.spotify.com/v1/tracks/5T6yrJuKWnkCH2OlQsoO7z,https://api.spotify.com/v1/audio-analysis/5T6yrJuKWnkCH2OlQsoO7z,165773,4,30,Monty Sharma,Hindi
0.639,0.245,2,-15.25,1,0.0479,0.128,4.69e-06,0.1,0.524,172.05,audio_features,47U38LbRLzE76b6QOPZYtu,spotify:track:47U38LbRLzE76b6QOPZYtu,https://api.spotify.com/v1/tracks/47U38LbRLzE76b6QOPZYtu,https://api.spotify.com/v1/audio-analysis/47U38LbRLzE76b6QOPZYtu,297347,4,25,A.R. Rahman,Hindi
0.65,0.482,4,-8.667,1,0.0281,0.293,0,0.0811,0.517,106.994,audio_features,0rk2X5TAhraBC5aCIXK2Rq,spotify:track:0rk2X5TAhraBC5aCIXK2Rq,https://api.spotify.com/v1/tracks/0rk2X5TAhraBC5aCIXK2Rq,https://api.spotify.com/v1/audio-analysis/0rk2X5TAhraBC5aCIXK2Rq,269185,4,42,Jawad Ahmad,Hindi
0.845,0.555,8,-7.498,1,0.0749,0.00248,1.66e-05,0.0877,0.632,101.967,audio_features,15G2BE9gyafUKNEE3M6eUr,spotify:track:15G2BE9gyafUKNEE3M6eUr,https://api.spotify.com/v1/tracks/15G2BE9gyafUKNEE3M6eUr,https://api.spotify.com/v1/audio-analysis/15G2BE9gyafUKNEE3M6eUr,236093,4,22,Shankar-Ehsaan-Loy,Hindi
0.703,0.848,6,-11.002,1,0.0462,0.282,0.295,0.0454,0.921,144.899,audio_features,4gmL6HURFqPMwx8nWQoOn2,spotify:track:4gmL6HURFqPMwx8nWQoOn2,https://api.spotify.com/v1/tracks/4gmL6HURFqPMwx8nWQoOn2,https://api.spotify.com/v1/audio-analysis/4gmL6HURFqPMwx8nWQoOn2,313027,4,30,Daler Mehndi,Hindi
0.642,0.925,4,-7.154,0,0.173,0.154,0.000278,0.0497,0.591,99.954,audio_features,1Aj3mTJznujGX2ov6Op1cZ,spotify:track:1Aj3mTJznujGX2ov6Op1cZ,https://api.spotify.com/v1/tracks/1Aj3mTJznujGX2ov6Op1cZ,https://api.spotify.com/v1/audio-analysis/1Aj3mTJznujGX2ov6Op1cZ,281480,4,22,Salim–Sulaiman,Hindi
